feature,importance
year,0.3100323943905527
reclat,0.2847696192046626
log_mass_g,0.20956849525582777
reclong,0.12752277604454285
recclass_Other,0.01639636077741292
"recclass_Iron, IIIAB",0.007387817664881644
recclass_H4,0.006817710384910915
recclass_L6,0.005303509984960231
recclass_H5,0.003351190594682735
recclass_H6,0.002915039085438983
recclass_LL5,0.002907419328391007
recclass_L4,0.0029043043739699595
"recclass_Iron, IIAB",0.002695854296287491
"recclass_Iron, ungrouped",0.0026222401207577433
recclass_L5,0.0021042005791022974
recclass_Iron,0.0017854580009884827
recclass_LL6,0.0016862223491808039
recclass_H4/5,0.0012323371082385984
recclass_CM2,0.0011530253483435537
recclass_H3,0.0006961490108158092
nametype_Relict,0.0006640808387019069
recclass_Howardite,0.0006515151948840831
recclass_CO3,0.0006040526802635895
nametype_Valid,0.000576574693866371
recclass_LL4,0.0004565696152914264
recclass_H5/6,0.000455839530357724
recclass_CV3,0.00045460963028680124
recclass_Mesosiderite,0.0004335872148655642
recclass_L3,0.000375309174983386
recclass_LL,0.0003613026988427843
recclass_Diogenite,0.0002801624531268017
recclass_Eucrite-pmict,0.00019111647864004916
recclass_E3,0.00017132437664634342
recclass_H~5,0.00015539480401785034
recclass_Ureilite,0.00014048942658779185
recclass_CR2,0.00010278422980050787
recclass_L3.5,7.316305488777396e-05
